id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,out,clearance,duel,off_camera,dribble,foul_committed,foul_won,interception,shot,goalkeeper,injury_stoppage,substitution,ball_recovery,bad_behaviour,block,related_events,location,bad_behaviour_card_id,bad_behaviour_card_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,related_events_3,pass_cut_back,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
e8e520f3-f8a6-41bf-a4f1-2bddb3107e1b,1041,1,00:29:01.102,29,1,25,Own Goal For,51,217,Barcelona,5,Other,217,Barcelona,0.0,,733902be-6eca-42c5-9d8d-f3013874c414,5470,Ivan Rakitić,13,Right Center Midfield,110.1,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733902be-6eca-42c5-9d8d-f3013874c414,1042,1,00:29:01.102,29,1,20,Own Goal Against,51,217,Barcelona,5,Other,218,Real Betis,0.0,,e8e520f3-f8a6-41bf-a4f1-2bddb3107e1b,27349,Heiko Westermann,5,Left Center Back,10.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a344a495-172d-4cc9-a61e-f09c78cdcbf8,1043,1,00:29:19.885,29,19,24,Bad Behaviour,51,217,Barcelona,5,Other,218,Real Betis,0.0,,,27346,Petros Matheus dos Santos Araújo,13,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e587614-2721-4d43-a6de-7453fd52e4d0,1044,1,00:29:21.163,29,21,26,Player On,51,217,Barcelona,5,Other,217,Barcelona,0.0,,5e981ca6-f583-405f-aef5-fbef1dd13d39,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fef36a09-79e1-4538-88d9-f2e5da454543,1073,1,00:30:47.144,30,47,30,Pass,53,217,Barcelona,1,Regular Play,217,Barcelona,2.1099,,6ce5ba7c-c165-431e-80f0-20aff04fe477,5506,Javier Alejandro Mascherano,3,Right Center Back,27.7,56.8,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,35.894985,0.30853546,1.0,Ground Pass,61.9,67.7,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ce5ba7c-c165-431e-80f0-20aff04fe477,1074,1,00:30:49.254,30,49,42,Ball Receipt*,53,217,Barcelona,1,Regular Play,217,Barcelona,,,fef36a09-79e1-4538-88d9-f2e5da454543,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,61.9,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa711684-725c-414a-88b3-a6c4face33a0,1075,1,00:30:49.254,30,49,43,Carry,53,217,Barcelona,1,Regular Play,217,Barcelona,2.4136,,6ce5ba7c-c165-431e-80f0-20aff04fe477,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,61.9,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc773431-241d-4539-9cae-860f4976883e,64.2,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc773431-241d-4539-9cae-860f4976883e,1076,1,00:30:51.667,30,51,30,Pass,53,217,Barcelona,1,Regular Play,217,Barcelona,1.5391,,e169ed60-5cc6-4ad7-8423-22209aa92324,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,64.2,62.3,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,18.681541,-1.8417432,1.0,Ground Pass,59.2,44.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e169ed60-5cc6-4ad7-8423-22209aa92324,1077,1,00:30:53.207,30,53,42,Ball Receipt*,53,217,Barcelona,1,Regular Play,217,Barcelona,,,bc773431-241d-4539-9cae-860f4976883e,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,59.2,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79c5ab5a-e06b-437f-9cbe-8865f0f22ee4,1078,1,00:30:53.207,30,53,43,Carry,53,217,Barcelona,1,Regular Play,217,Barcelona,0.3917,,5c699ac8-6fac-4151-ad26-f639e41702f9,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,59.2,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e169ed60-5cc6-4ad7-8423-22209aa92324,61.0,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
