id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_3,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_cross,pass_aerial_won
514289d8-dc6c-4db5-8a9e-60f471b68b0e,3467,2,00:41:20.087,86,20,30,Pass,203,217,Barcelona,9,From Kick Off,217,Barcelona,2.25634,,997b9764-9ea2-4533-a60c-f7842f8f3cef,5246,Luis Alberto Suárez Díaz,23,Center Forward,61.0,40.1,6834.0,Gerard Gumbau Garriga,12.638433,2.8774226,1.0,Ground Pass,48.8,43.4,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997b9764-9ea2-4533-a60c-f7842f8f3cef,3468,2,00:41:22.344,86,22,42,Ball Receipt*,203,217,Barcelona,9,From Kick Off,217,Barcelona,,,514289d8-dc6c-4db5-8a9e-60f471b68b0e,6834,Gerard Gumbau Garriga,10,Center Defensive Midfield,48.8,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35a2ffdf-44a1-46ce-829d-ab2c51c866f5,3469,2,00:41:23.354,86,23,30,Pass,203,217,Barcelona,9,From Kick Off,217,Barcelona,1.232832,,03804d2c-7fdd-4095-8bb4-e8dbab5d41d0,6834,Gerard Gumbau Garriga,10,Center Defensive Midfield,48.6,43.4,5213.0,Gerard Piqué Bernabéu,18.867167,2.5256562,1.0,Ground Pass,33.2,54.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03804d2c-7fdd-4095-8bb4-e8dbab5d41d0,3470,2,00:41:24.587,86,24,42,Ball Receipt*,203,217,Barcelona,9,From Kick Off,217,Barcelona,,,35a2ffdf-44a1-46ce-829d-ab2c51c866f5,5213,Gerard Piqué Bernabéu,3,Right Center Back,33.2,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805a3a40-870a-4b8a-97c2-797934b55392,3471,2,00:41:24.587,86,24,43,Carry,203,217,Barcelona,9,From Kick Off,217,Barcelona,1.308946,,03804d2c-7fdd-4095-8bb4-e8dbab5d41d0,5213,Gerard Piqué Bernabéu,3,Right Center Back,33.2,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b817ee4-cd91-4ce6-b204-16f51170eb30,33.2,54.3,,,,,,,,,,,,,,,,,,
6b817ee4-cd91-4ce6-b204-16f51170eb30,3472,2,00:41:25.896,86,25,30,Pass,203,217,Barcelona,9,From Kick Off,217,Barcelona,0.709696,,348f4e33-d711-4213-ae0d-bd6663fff038,5213,Gerard Piqué Bernabéu,3,Right Center Back,33.2,54.3,6834.0,Gerard Gumbau Garriga,9.654015,-0.22990443,1.0,Ground Pass,42.6,52.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348f4e33-d711-4213-ae0d-bd6663fff038,3473,2,00:41:26.606,86,26,42,Ball Receipt*,203,217,Barcelona,9,From Kick Off,217,Barcelona,,,6b817ee4-cd91-4ce6-b204-16f51170eb30,6834,Gerard Gumbau Garriga,10,Center Defensive Midfield,42.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b778d981-7563-4cf3-8a19-9c9f4ba684f9,3474,2,00:41:26.606,86,26,43,Carry,203,217,Barcelona,9,From Kick Off,217,Barcelona,0.040000003,,348f4e33-d711-4213-ae0d-bd6663fff038,6834,Gerard Gumbau Garriga,10,Center Defensive Midfield,42.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f6233a2-348d-4951-89e9-4e9ffceeda39,42.6,52.1,,,,,,,,,,,,,,,,,,
9f6233a2-348d-4951-89e9-4e9ffceeda39,3475,2,00:41:26.646,86,26,30,Pass,203,217,Barcelona,9,From Kick Off,217,Barcelona,2.401849,,130f9a72-7511-4d82-9323-22ea373d4d2c,6834,Gerard Gumbau Garriga,10,Center Defensive Midfield,42.6,52.1,4691.0,Claudio Andrés Bravo Muñoz,36.65474,-2.7169971,1.0,Ground Pass,9.2,37.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f9a72-7511-4d82-9323-22ea373d4d2c,3476,2,00:41:29.047,86,29,42,Ball Receipt*,203,217,Barcelona,9,From Kick Off,217,Barcelona,,,9f6233a2-348d-4951-89e9-4e9ffceeda39,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,9.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
