id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,dribble,clearance,duel,50_50,interception,foul_committed,foul_won,block,substitution,ball_recovery,injury_stoppage,related_events,player,position,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,related_events_3,pass_cross,foul_committed_advantage,foul_won_advantage,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events_4,dribble_nutmeg,pass_cut_back,pass_aerial_won,clearance_right_foot,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time
ad2fa62f-8f9f-44ce-8459-b56c302393fa,2895,2,00:22:12.291,67,12,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.123236,,7569242c-9039-42a8-91be-3310768561f1,5211.0,Jordi Alba Ramos,6.0,Left Back,30.7,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a03e542b-cc24-41c7-a9a1-e37ed8142546,5216.0,Andrés Iniesta Luján,15.047923,0.07982998,2.0,Low Pass,45.7,22.4,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f956395b-5fb9-4d74-8e81-7756b918352b,2899,2,00:22:14.456,67,14,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.569216,,1ca9040c-267b-480e-8e52-ec52b2f81c67,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,45.2,23.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,3af75145-57c9-4484-ba83-14429bb3c9c5,5203.0,Sergio Busquets i Burgos,5.661272,2.5192897,2.0,Low Pass,40.6,26.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceeebf7f-1052-4caa-aebb-d274d1f37937,2905,2,00:22:16.138,67,16,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.639073,,a8aa24c3-b5cf-48e0-80a5-f21ed899c23b,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,40.6,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,30.101496,1.0908054,1.0,Ground Pass,54.5,53.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a978430-7142-441d-8123-db9512dbfc35,2913,2,00:22:22.520,67,22,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.826056,,e04bc1bc-5c80-4f3e-a15f-112b5e6d72d9,4324.0,Daniel Alves da Silva,2.0,Right Back,71.3,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.060318,0.65145326,1.0,Ground Pass,79.3,72.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608a8658-5477-4adb-85f4-61c0792e3327,2917,2,00:22:24.419,67,24,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.606192,,515b6b91-2819-4dcf-b80b-211931f408d1,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,72.1,68.9,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,85d4ef4f-794f-4d65-9ead-f34c3a7439c1,4324.0,Daniel Alves da Silva,8.612201,-1.3483491,1.0,Ground Pass,74.0,60.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cc98571-326c-49df-bfd4-8304bc82690e,2920,2,00:22:26.060,67,26,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.4643,,c97385f7-ccbe-43f5-a1c9-adc9adf7a942,4324.0,Daniel Alves da Silva,2.0,Right Back,74.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,2.9068885,-3.0727363,1.0,Ground Pass,71.1,60.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b4c06ec-81a3-4e58-a052-9240056496a1,2923,2,00:22:26.684,67,26,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,2.9117,,2386afe0-aec0-4c8a-8473-6fb4bf92c463,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,71.1,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83f7799e-5bf5-48db-815c-6b3a73b4261f,3958.0,Pedro Eliezer Rodríguez Ledesma,37.30657,-0.37602657,3.0,High Pass,105.8,46.6,38.0,Left Foot,,,,,,,,,,,,9.0,Incomplete,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547fc6c-3a9e-4f68-b8af-7764bc6b00da,2932,2,00:22:38.806,67,38,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.210542,,a4cc1f6a-6a80-4bfc-ac36-cac70fa63606,10609.0,Jérémy Mathieu,5.0,Left Center Back,28.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb1d81a3-25b2-4083-84da-d06779901313,5216.0,Andrés Iniesta Luján,22.192116,-0.85874873,1.0,Ground Pass,43.3,9.0,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abd34d49-ec9a-4ad0-bb1f-3f4bf55322c9,2935,2,00:22:40.097,67,40,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.790395,,a4fad2fd-b647-48fe-8b88-1037153892fb,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,43.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,9.726768,1.8307365,1.0,Ground Pass,40.8,20.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41392818-7481-412d-b1c1-f7e9453690ee,2938,2,00:22:42.002,67,42,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.176285,,eb580109-2202-4ccd-98de-8ba6ef4b2b96,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,38.1,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,21.9,1.5707964,1.0,Ground Pass,38.1,42.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
